,mtn,spcode,tag,lat,lon,elev,DBH,Age,trail.area,date,,
1,DM,PICE,ELD002,30.70102,104.1123,1802,21.7,71,mciver center,7/7/2015,,
2,DM,PICE,ELD003,30.70103,104.11068,1809,20,NA,mciver center,7/7/2015,,Davis Mountains Preserves
3,DM,PICE,ELD004,30.70395,104.11903,1828,11.1,31,mciver center,7/7/2015,,West Texas
4,DM,PIPOS,ELD005,30.63503,104.17095,2477,18.4,40,bridge gap,7/8/2015,,
5,DM,PIST3,ELD006,30.63533,104.17107,2479,34.2,74,bridge gap,7/8/2015,,
6,DM,PICE,ELD007,30.63506,104.17077,2480,34,NA,bridge gap,7/8/2015,,
7,DM,PIPOS,ELD008,30.63453,104.16941,2480,36.8,NA,bridge gap,7/8/2015,,latitude= North
8,DM,PIPOS,ELD009,30.63505,104.16872,2485,14.5,28,bridge gap,7/8/2015,,longitude= West
9,DM,PIPOS,ELD010,30.6357,104.16858,2479,35.6,92,bridge gap,7/8/2015,,
10,DM,PIPOS,ELD011,30.63707,104.16692,2440,36.8,NA,bridge gap,7/8/2015,,
11,DM,PIST3,ELD012,30.63738,104.1669,2425,26.6,48,bridge gap,7/8/2015,,
12,DM,PIST3,ELD013,30.63774,104.16642,2434,17.2,40,bridge gap,7/8/2015,,
13,DM,PIST3,ELD014,30.63769,104.16579,2425,36.2,70,bridge gap,7/8/2015,,
14,DM,PICE,ELD015,30.65131,104.17213,2015,31.5,NA,bridge gap,7/9/2015,,
15,DM,PICE,ELD016,30.64685,104.17067,2092,10,43,bridge gap,7/9/2015,,
16,DM,PIPOS,ELD017,30.64483,104.16897,2125,17.4,34,bridge gap,7/9/2015,,
17,DM,PICE,ELD018,30.64322,104.16635,2173,20.2,103,bridge gap,7/9/2015,,
18,DM,PIST3,ELD019,30.6427,104.16499,2194,11.1,NA,bridge gap,7/9/2015,,
19,DM,PICE,ELD020,30.64264,104.16505,2197,11.5,73,bridge gap,7/9/2015,,
20,DM,PIPOS,ELD021,30.64262,104.16486,2193,21.9,NA,bridge gap,7/9/2015,,
21,DM,PIPOS,ELD022,30.64275,104.16272,2232,21.9,115,bridge gap,7/9/2015,,
22,DM,PIST3,ELD023,30.64,104.16241,2214,19.4,85,bridge gap,7/9/2015,,
23,DM,PIPOS,ELD024,30.64012,104.16212,2215,26.6,92,bridge gap,7/9/2015,,
24,DM,PIST3,ELD025,30.64051,104.16181,2198,15.2,NA,bridge gap,7/9/2015,,
25,DM,PIPOS,ELD026,30.64034,104.16139,2204,19.6,74,bridge gap,7/9/2015,,
26,DM,PIST3,ELD027,30.6404,104.16136,2197,12.6,56,bridge gap,7/9/2015,,
27,DM,PIST3,ELD028,30.64027,104.16087,2204,16.6,119,bridge gap,7/9/2015,,
28,DM,PIST3,ELD029,30.63988,104.16074,2229,17.1,90,bridge gap,7/9/2015,,
29,DM,PIPOS,ELD030,30.65766,104.16764,1938,20.2,32,bridge gap,7/9/2015,,
30,DM,PIPOS,ELD031,30.65832,104.16491,1928,8,27,bridge gap,7/9/2015,,
31,DM,PICE,ELD032,30.69723,104.12132,1802,20.4,86,48 tank road,7/30/2015,,
32,DM,PIPOS,ELD033,30.69679,104.12157,1803,19.2,27,48 tank road,7/30/2015,,
33,DM,PICE,ELD034,30.69656,104.12264,1798,17,79,48 tank road,7/30/2015,,
34,DM,PIPOS,ELD035,30.69613,104.12244,1801,21.6,26,48 tank road,7/30/2015,,
35,DM,PICE,ELD036,30.69562,104.12362,1804,17.6,62,48 tank road,7/30/2015,,
36,DM,PICE,ELD037,30.69235,104.12413,1821,8.1,37,48 tank road,7/30/2015,,
37,DM,PICE,ELD038,30.69037,104.12576,1822,15.6,88,48 tank road,7/30/2015,,
38,DM,PIPOS,ELD039,30.68657,104.12559,1825,29.6,64,48 tank road,7/30/2015,,
39,DM,PICE,ELD040,30.68393,104.12349,1843,19.2,72,48 tank road,7/30/2015,,
40,DM,PIPOS,ELD041,30.68287,104.12334,1844,27.2,NA,48 tank road,7/30/2015,,
41,DM,PICE,ELD042,30.6828,104.12305,1849,16,64,48 tank road,7/30/2015,,
42,DM,PIPOS,ELD043,30.68181,104.14597,1920,18,37,right  hand loop,7/31/2015,,
43,DM,PICE,ELD044,30.68162,104.14609,1917,8.9,60,right  hand loop,7/31/2015,,
44,DM,PIPOS,ELD045,30.68078,104.14721,1922,12.2,29,right  hand loop,7/31/2015,,
45,DM,PICE,ELD046,30.67971,104.14925,1934,8.6,NA,right  hand loop,7/31/2015,,
46,DM,PIPOS,ELD047,30.67874,104.15104,1944,10.4,22,right  hand loop,7/31/2015,,
47,DM,PICE,ELD048,30.67817,104.15277,1960,17.8,93,right  hand loop,7/31/2015,,
48,DM,PIPOS,ELD049,30.67798,104.1537,1967,12.4,NA,right  hand loop,7/31/2015,,
49,DM,PICE,ELD050,30.677,104.15678,1996,8.6,47,right  hand loop,7/31/2015,,
50,DM,PICE,ELD051,30.67702,104.16309,2020,16.6,112,right  hand loop,7/31/2015,,
51,DM,PIPOS,ELD053,30.67617,104.17084,1899,19.6,54,right  hand loop,7/31/2015,,
52,DM,PICE,ELD054,30.6743,104.17107,1923,10.8,28,right  hand loop,7/31/2015,,
53,DM,PIPOS,ELD055,30.67167,104.17245,1944,13.2,NA,right  hand loop,7/31/2015,,
54,DM,PICE,ELD057,30.66989,104.17377,1975,22.8,74,right  hand loop,7/31/2015,,
55,DM,PIST3,ELD059,30.64715,104.17847,2064,23.2,57,right  hand loop,7/31/2015,,
56,DM,PIST3,ELD060,30.64691,104.17847,2050,27.6,66,right  hand loop,7/31/2015,,
57,DM,PIPOS,ELD063,30.64645,104.17918,2059,10.3,26,tobe canyon trail,8/1/2015,,
58,DM,PIST3,ELD064,30.64524,104.17955,2086,30.4,110,tobe canyon trail,8/1/2015,,
59,DM,PIST3,ELD065,30.6427,104.18017,2122,29.6,NA,tobe canyon trail,8/1/2015,,
60,DM,PIST3,ELD066,30.64285,104.18021,2128,23.2,82,tobe canyon trail,8/1/2015,,
61,DM,PIST3,ELD067,30.64259,104.17797,2199,30,94,tobe canyon trail,8/1/2015,,
62,DM,PIST3,ELD068,30.64132,104.17903,2230,15.4,43,tobe canyon trail,8/1/2015,,
63,DM,PIST3,ELD069,30.64133,104.17906,2218,16.8,54,tobe canyon trail,8/1/2015,,
64,DM,PIST3,ELD070,30.6416,104.17902,2208,8.4,40,tobe canyon trail,8/1/2015,,
65,DM,PIST3,ELD071,30.64174,104.17937,2191,24.6,67,tobe canyon trail,8/1/2015,,
66,DM,PIST3,ELD072,30.64215,104.17967,2167,20.2,48,tobe canyon trail,8/1/2015,,
67,DM,PIST3,ELD073,30.6415,104.18034,2169,12.8,35,tobe canyon trail,8/1/2015,,
